,Price per Unit,Units Sold,Total Sales,Operating Margin,Year,Sales Method_Online,Sales Method_Outlet
0,50,1200,600000,50,2020,0,0
1,50,1000,500000,30,2020,0,0
2,40,1000,400000,35,2020,0,0
3,45,850,382500,35,2020,0,0
4,60,900,540000,30,2020,0,0
5,50,1000,500000,25,2020,0,0
6,50,1250,625000,50,2020,0,0
7,50,900,450000,30,2020,0,1
8,40,950,380000,35,2020,0,1
9,45,825,371250,35,2020,0,1
10,60,900,540000,30,2020,0,1
11,50,1000,500000,25,2020,0,1
12,50,1220,610000,50,2020,0,1
13,50,925,462500,30,2020,0,1
14,40,950,380000,35,2020,0,1
15,45,800,360000,35,2020,0,1
16,60,850,510000,30,2020,0,1
17,50,950,475000,25,2020,0,1
18,50,1200,600000,50,2020,0,1
19,50,900,450000,30,2020,0,1
20,40,900,360000,35,2020,0,1
21,45,825,371250,35,2020,0,1
22,60,825,495000,30,2020,0,1
23,50,950,475000,25,2020,0,1
24,60,1220,732000,50,2020,0,1
25,55,925,508750,30,2020,0,1
26,50,900,450000,35,2020,0,1
27,50,850,425000,35,2020,0,1
28,60,875,525000,30,2020,0,1
29,65,1000,650000,25,2020,0,1
30,60,1250,750000,50,2020,0,1
31,55,1000,550000,30,2020,0,1
32,50,925,462500,35,2020,0,1
33,50,900,450000,35,2020,0,1
34,60,900,540000,30,2020,0,1
35,65,1050,682500,25,2020,0,1
36,60,1275,765000,50,2020,0,1
37,55,1025,563750,30,2020,0,1
38,50,950,475000,35,2020,0,1
39,50,900,450000,35,2020,0,1
40,60,925,555000,30,2020,0,1
41,65,1100,715000,25,2020,0,1
42,60,1250,750000,50,2020,0,1
43,55,1025,563750,30,2020,0,1
44,50,950,475000,35,2020,0,1
45,50,925,462500,35,2020,0,1
46,60,900,540000,30,2020,0,1
47,65,1075,698750,25,2020,0,1
48,60,1200,720000,50,2020,0,1
49,55,1000,550000,30,2020,0,1
50,50,925,462500,35,2020,0,1
51,50,900,450000,35,2020,0,1
52,60,900,540000,30,2020,0,1
53,65,1000,650000,25,2020,0,1
54,65,875,568750,30,2020,0,1
55,70,1000,700000,25,2020,0,1
56,65,1150,747500,50,2020,0,1
57,55,975,536250,30,2020,0,1
58,55,920,506000,35,2020,0,1
59,55,900,495000,35,2020,0,1
60,65,875,568750,30,2020,0,1
61,70,975,682500,25,2020,0,1
62,65,1200,780000,50,2020,0,1
63,55,1000,550000,30,2020,0,1
64,55,950,522500,35,2020,0,1
65,55,900,495000,35,2020,0,1
66,65,900,585000,30,2020,0,1
67,70,1000,700000,25,2020,0,1
68,25,900,225000,35,2020,0,1
69,35,900,315000,35,2020,0,1
70,35,700,245000,35,2020,0,1
71,35,700,245000,45,2020,0,1
72,40,550,220000,30,2020,0,1
73,35,700,245000,50,2020,0,1
74,25,850,212500,35,2020,0,1
75,35,850,297500,35,2020,0,1
76,35,675,236250,35,2020,0,1
77,35,625,218750,45,2020,0,1
78,40,500,200000,30,2020,0,1
79,35,700,245000,50,2020,0,1
80,30,875,262500,35,2020,0,1
81,40,875,350000,35,2020,0,1
82,35,700,245000,35,2020,0,1
83,40,600,240000,45,2020,0,1
84,45,500,225000,30,2020,0,1
85,40,650,260000,50,2020,0,1
86,30,900,270000,35,2020,0,1
87,40,900,360000,35,2020,0,1
88,35,725,253750,35,2020,0,1
89,40,625,250000,45,2020,0,1
90,45,525,236250,30,2020,0,1
91,40,800,320000,50,2020,0,1
92,30,925,277500,35,2020,0,1
